program_study;text;target_role;is_relevant
Informatics;Integrated payment gateways (Stripe, PayPal) into web apps. Skilled in third-party API integrations.;Software Engineer;ya
Informatics;Passionate about graphic design and branding strategies.;Software Engineer;tidak
Informatics;Skilled in luxury travel planning for high-net-worth clients.;Cloud Solutions Architect;tidak
Informatics;Volunteered in beach cleanup and marine conservation.;Software Engineer;tidak
Informatics;Interest in outdoor survival skills and wilderness exploration.;UI/UX Designer;tidak
Informatics;Used GitHub Actions for CI/CD pipelines. Proficient in automated testing and deployment.;Full-Stack Developer;ya
Informatics;Interest in travel logistics and cultural exchange programs.;Cloud Solutions Architect;tidak
Informatics;Skilled in carbon footprint reduction strategies.;DevOps Engineer;tidak
Informatics;Used Express.js to create scalable backend APIs. Proficient in Express and Node.js performance tuning.;Full-Stack Developer;ya
Informatics;Trained in Certified Blockchain Developer (CBD). Skilled in cryptography and consensus algorithms.;Blockchain Developer;ya
Informatics;Collaborated with legal teams to ensure regulatory compliance for blockchain projects.;Blockchain Developer;ya
Informatics;Organized charity fundraising events for local NGOs.;Full-Stack Developer;tidak
Informatics;Skilled in photography, video editing, and social media content creation.;UI/UX Designer;tidak
Informatics;Migrated legacy monoliths to microservices architecture. Proficient in Docker and containerization.;Full-Stack Developer;ya
Informatics;Collaborated with DevOps teams to enforce security best practices. Strong cross-functional communication.;Cloud Solutions Architect;ya
Informatics;Led volunteer teams for environmental clean-up campaigns.;AI/Machine Learning Engineer;tidak
Informatics;Interest in aviation and flight simulation training.;Full-Stack Developer;tidak
Informatics;Volunteered as a tutor for underprivileged students.;Cloud Solutions Architect;tidak
Informatics;Mentored interns in React best practices. Strong teaching and documentation skills.;Full-Stack Developer;ya
Informatics;Skilled in cross-cultural communication and language tutoring.;UI/UX Designer;tidak
Informatics;Optimized Hadoop clusters for 10x performance gains. Skilled in HDFS and MapReduce.;Big Data Engineer;ya
Informatics;Trained in AWS Well-Architected Framework. Proficient in disaster recovery planning.;Cloud Solutions Architect;ya
Informatics;Used Kubernetes for container orchestration. Skilled in hybrid cloud deployments.;Cloud Solutions Architect;ya
Informatics;Expert in environmental sustainability and CSR programs.;Cybersecurity Specialist;tidak
Informatics;Optimized cloud costs with AWS Cost Explorer and Azure Advisor. Skilled in cloud governance.;Cloud Solutions Architect;ya
Informatics;Passionate about graphic design and branding strategies.;Full-Stack Developer;tidak
Informatics;Led backpacking expeditions in remote regions.;AI/Machine Learning Engineer;tidak
Informatics;Used Terraform and CloudFormation for infrastructure automation. Proficient in IaC (Infrastructure as Code).;Cloud Solutions Architect;ya
Informatics;Implemented SOC 2 compliance frameworks. Proficient in SIEM tools (Splunk, QRadar).;Cybersecurity Specialist;ya
Informatics;Skilled in renewable energy advocacy and community education.;Data Scientist;tidak
Informatics;Mentored teams in MLOps practices. Strong collaboration and knowledge-sharing skills.;AI/Machine Learning Engineer;ya
Informatics;Trained in Google Cloud Professional Cloud Developer. Skilled in cloud-native development.;Software Engineer;ya
Informatics;Interest in automotive repair and mechanical engineering hobbies.;Big Data Engineer;tidak
Informatics;Designed intuitive user interfaces with Figma and Sketch. Proficient in user journey mapping.;UI/UX Designer;ya
Informatics;Volunteered in library management and literacy programs.;Data Scientist;tidak
Informatics;Used Hyperledger Fabric for enterprise blockchain solutions. Proficient in permissioned ledgers.;Blockchain Developer;ya
Informatics;Optimized cloud costs with AWS Cost Explorer and Azure Advisor. Skilled in cloud governance.;Cloud Solutions Architect;ya
Informatics;Used Hugging Face Transformers for language modeling tasks. Skilled in transfer learning.;AI/Machine Learning Engineer;ya
Informatics;Interest in climate change awareness campaigns.;DevOps Engineer;tidak
Informatics;Automated deployment pipelines with Jenkins and GitLab CI/CD. Skilled in infrastructure as code (Terraform).;DevOps Engineer;ya
Informatics;Built cross-chain bridges with Cosmos SDK. Proficient in IBC protocol.;Blockchain Developer;ya
Informatics;Trained in CompTIA Security+ and CISSP. Skilled in risk assessment and threat modeling.;Cybersecurity Specialist;ya
Informatics;Skilled in luxury travel planning for high-net-worth clients.;Blockchain Developer;tidak
Informatics;Mentored teams in MLOps practices. Strong collaboration and knowledge-sharing skills.;AI/Machine Learning Engineer;ya
Informatics;Used Ansible for configuration management. Skilled in automation and orchestration.;DevOps Engineer;ya
Informatics;Interest in astronomy and amateur astrophotography.;AI/Machine Learning Engineer;tidak
Informatics;Trained in CompTIA Security+ and CISSP. Skilled in risk assessment and threat modeling.;Cybersecurity Specialist;ya
Informatics;Led book clubs and literary analysis discussions.;AI/Machine Learning Engineer;tidak
Informatics;Secured cloud environments with AWS IAM and Azure AD. Skilled in zero-trust architecture.;Cloud Solutions Architect;ya
Informatics;Built cross-chain bridges with Cosmos SDK. Proficient in IBC protocol.;Blockchain Developer;ya
Informatics;Built scalable backend systems with Java Spring Boot and PostgreSQL. Strong OOP and SOLID principles.;Software Engineer;ya
Informatics;Interest in archaeology and historical preservation.;Cybersecurity Specialist;tidak
Informatics;Skilled in voice acting and audiobook narration.;Blockchain Developer;tidak
Informatics;Trained in AWS Well-Architected Framework. Proficient in disaster recovery planning.;Cloud Solutions Architect;ya
Informatics;Skilled in travel blogging and digital storytelling.;DevOps Engineer;tidak
Informatics;Volunteered in beach cleanup and marine conservation.;UI/UX Designer;tidak
Informatics;Volunteered in agricultural farming and sustainable practices.;AI/Machine Learning Engineer;tidak
Informatics;Optimized conversion rates through iterative design improvements. Skilled in Figma Auto Layout.;UI/UX Designer;ya
Informatics;Designed intuitive user interfaces with Figma and Sketch. Proficient in user journey mapping.;UI/UX Designer;ya
Informatics;Skilled in public speaking and debate competitions.;Cybersecurity Specialist;tidak
Informatics;Analyzed real-time data streams with Apache Kafka and Spark Streaming. Proficient in distributed computing.;Data Scientist;ya
Informatics;Collaborated with legal teams to ensure regulatory compliance for blockchain projects.;Blockchain Developer;ya
Informatics;Conducted penetration testing with Metasploit and Burp Suite. Certified CEH (Certified Ethical Hacker).;Cybersecurity Specialist;ya
Informatics;Interest in cryptocurrency trading and blockchain hobbies.;Software Engineer;tidak
Informatics;Led community outreach programs for social empowerment.;AI/Machine Learning Engineer;tidak
Informatics;Led eco-tourism programs for sustainable travel.;Cloud Solutions Architect;tidak
Informatics;Skilled in public speaking and debate competitions.;Data Scientist;tidak
Informatics;Volunteered as a tutor for underprivileged students.;UI/UX Designer;tidak
Informatics;Led school workshops on creative writing and literature.;Blockchain Developer;tidak
Informatics;Collaborated with developers to ensure pixel-perfect implementation. Strong teamwork skills.;UI/UX Designer;ya
Informatics;Volunteered in disaster relief efforts for humanitarian organizations.;Blockchain Developer;tidak
Informatics;Collaborated with developers to enforce coding standards and CI/CD best practices.;DevOps Engineer;ya
Informatics;Used dbt for transforming data in the warehouse. Proficient in ELT pipelines.;Big Data Engineer;ya
Informatics;Skilled in cross-cultural communication and language tutoring.;Cybersecurity Specialist;tidak
Informatics;Implemented serverless architectures with AWS Lambda and Azure Functions. Skilled in event-driven design.;Cloud Solutions Architect;ya
Informatics;Migrated legacy systems to microservices architecture. Skilled in Docker and Kubernetes.;Software Engineer;ya
Informatics;Used Hyperledger Fabric for enterprise blockchain solutions. Proficient in permissioned ledgers.;Blockchain Developer;ya
Informatics;Led eco-tourism programs for sustainable travel.;Data Scientist;tidak
Informatics;Used Git and GitHub Actions for version control and CI/CD pipelines. Skilled in code reviews and debugging.;Software Engineer;ya
Informatics;Led marathon training groups for charity fundraising.;Cybersecurity Specialist;tidak
Informatics;Experienced in culinary arts and food service management.;UI/UX Designer;tidak
Informatics;Integrated payment gateways (Stripe, PayPal) into web apps. Skilled in third-party API integrations.;Software Engineer;ya
Informatics;Managed containerized applications with Docker and Kubernetes. Proficient in Helm charts.;DevOps Engineer;ya
Informatics;Interest in cryptocurrency trading and blockchain hobbies.;DevOps Engineer;tidak
Informatics;Skilled in public speaking and debate competitions.;UI/UX Designer;tidak
Informatics;Led tree-planting initiatives for urban reforestation.;Cybersecurity Specialist;tidak
Informatics;Built cross-chain bridges with Cosmos SDK. Proficient in IBC protocol.;Blockchain Developer;ya
Informatics;Skilled in martial arts and self-defense instruction.;Cloud Solutions Architect;tidak
Informatics;Volunteered in disaster relief efforts for humanitarian organizations.;Big Data Engineer;tidak
Informatics;Built smart contracts in Solidity for Ethereum dApps. Proficient in Truffle and Hardhat.;Blockchain Developer;ya
Informatics;Volunteered in agricultural farming and sustainable practices.;UI/UX Designer;tidak
Informatics;Led marathon training groups for charity fundraising.;Data Scientist;tidak
Informatics;Expert in environmental sustainability and CSR programs.;UI/UX Designer;tidak
Informatics;Led backpacking expeditions in remote regions.;DevOps Engineer;tidak
Informatics;Automated deployment pipelines with Jenkins and GitLab CI/CD. Skilled in infrastructure as code (Terraform).;DevOps Engineer;ya
Informatics;Used Hugging Face Transformers for language modeling tasks. Skilled in transfer learning.;AI/Machine Learning Engineer;ya
Informatics;Led pet grooming and animal care workshops.;Software Engineer;tidak
Informatics;Implemented serverless architectures with AWS Lambda and Azure Functions. Skilled in event-driven design.;Cloud Solutions Architect;ya
Informatics;Integrated payment gateways (Stripe, PayPal) into web apps. Skilled in third-party API integrations.;Software Engineer;ya
Informatics;Skilled in teaching English as a second language.;UI/UX Designer;tidak
Informatics;Skilled in swimming and lifeguard training.;Big Data Engineer;tidak
Informatics;Audited smart contracts for vulnerabilities. Proficient in Slither and MythX.;Blockchain Developer;ya
Informatics;Optimized Hadoop clusters for 10x performance gains. Skilled in HDFS and MapReduce.;Big Data Engineer;ya
Informatics;Skilled in travel blogging and digital storytelling.;AI/Machine Learning Engineer;tidak
Informatics;Developed NLP pipelines with spaCy and PyTorch. Skilled in statistical analysis and A/B testing.;Data Scientist;ya
Informatics;Skilled in public speaking and debate competitions.;Blockchain Developer;tidak
Informatics;Responded to security incidents using SANS Incident Response framework. Strong forensic analysis skills.;Cybersecurity Specialist;ya
Informatics;Trained in AWS Certified DevOps Engineer. Skilled in cloud security and compliance.;DevOps Engineer;ya
Informatics;Collaborated with developers to enforce coding standards and CI/CD best practices.;DevOps Engineer;ya
Informatics;Used GitHub Actions for CI/CD pipelines. Proficient in automated testing and deployment.;Full-Stack Developer;ya
Informatics;Passionate about automotive racing and car customization.;Software Engineer;tidak
Informatics;Skilled in candle making and DIY home decor.;Big Data Engineer;tidak
Informatics;Optimized cloud costs with AWS Cost Explorer and Azure Cost Management. Proficient in FinOps.;DevOps Engineer;ya
Informatics;Trained in AWS Certified DevOps Engineer. Skilled in cloud security and compliance.;DevOps Engineer;ya
Informatics;Mentored junior data scientists in machine learning best practices. Strong communication and stakeholder alignment.;Data Scientist;ya
Informatics;Volunteered in agricultural farming and sustainable practices.;Software Engineer;tidak
Informatics;Used Adobe XD for prototyping and interaction design. Skilled in motion design (After Effects).;UI/UX Designer;ya
Informatics;Skilled in drone flying and aerial photography.;Cybersecurity Specialist;tidak
Informatics;Used Express.js to create scalable backend APIs. Proficient in Express and Node.js performance tuning.;Full-Stack Developer;ya
Informatics;Led team-building activities for remote employees.;Big Data Engineer;tidak
Informatics;Interest in outdoor survival skills and wilderness exploration.;Cybersecurity Specialist;tidak
Informatics;Trained in Nielsen Norman Group UX principles. Proficient in accessibility standards (WCAG).;UI/UX Designer;ya
Informatics;Interest in cryptocurrency trading and blockchain hobbies.;Blockchain Developer;tidak
Informatics;Skilled in customer service and hospitality management.;AI/Machine Learning Engineer;tidak
Informatics;Collaborated with DevOps teams to enforce security best practices. Strong cross-functional communication.;Cloud Solutions Architect;ya
Informatics;Volunteered in beach cleanup and marine conservation.;DevOps Engineer;tidak
Informatics;Optimized Hadoop clusters for 10x performance gains. Skilled in HDFS and MapReduce.;Big Data Engineer;ya
Informatics;Interest in astronomy and amateur astrophotography.;DevOps Engineer;tidak
Informatics;Passionate about automotive racing and car customization.;DevOps Engineer;tidak
Informatics;Interest in archaeology and historical preservation.;Cybersecurity Specialist;tidak
Informatics;Passionate about travel logistics and hospitality management.;Software Engineer;tidak
Informatics;Skilled in swimming and lifeguard training.;Blockchain Developer;tidak
Informatics;Used Hotjar to analyze user behavior and pain points. Proficient in data-driven design decisions.;UI/UX Designer;ya
Informatics;Built predictive models using Python and TensorFlow for customer churn analysis. Proficient in Tableau for data visualization.;Data Scientist;ya
Informatics;Trained in Google Cloud Professional Cloud Developer. Skilled in cloud-native development.;Full-Stack Developer;ya
Informatics;Used SQL and NoSQL databases for querying structured and unstructured data. Proficient in data cleaning and preprocessing.;Data Scientist;ya
Informatics;Certified in hotel management and guest experience optimization.;Software Engineer;tidak
Informatics;Certified in green building standards like LEED.;AI/Machine Learning Engineer;tidak
Informatics;Migrated legacy systems to microservices architecture. Skilled in Docker and Kubernetes.;Software Engineer;ya
Informatics;Certified in floral design and event decoration.;DevOps Engineer;tidak
Informatics;Trained in Next.js for server-side rendering and static site generation. Skilled in SEO optimization.;Full-Stack Developer;ya
Informatics;Trained in AWS SageMaker for end-to-end ML workflows. Proficient in cloud-based training.;AI/Machine Learning Engineer;ya
Informatics;Skilled in voice acting and audiobook narration.;Cybersecurity Specialist;tidak
Informatics;Used AWS CloudTrail and Azure Monitor for auditing and logging. Proficient in compliance reporting.;Cloud Solutions Architect;ya
Informatics;Used Snowflake and BigQuery for large-scale data warehousing. Optimized ETL processes with Apache Airflow.;Data Scientist;ya
Informatics;Organized charity fundraising events for local NGOs.;Software Engineer;tidak
Informatics;Designed mobile-first interfaces for iOS and Android. Skilled in adaptive design principles.;UI/UX Designer;ya
Informatics;Volunteered in animal rescue and wildlife conservation projects.;Software Engineer;tidak
Informatics;Mentored interns in JavaScript and React best practices. Strong leadership and documentation skills.;Software Engineer;ya
Informatics;Optimized cloud costs with AWS Cost Explorer and Azure Cost Management. Proficient in FinOps.;DevOps Engineer;ya
Informatics;Built scalable backend systems with Java Spring Boot and PostgreSQL. Strong OOP and SOLID principles.;Software Engineer;ya
Informatics;Volunteered in beach cleanup and marine conservation.;Software Engineer;tidak
Informatics;Led eco-tourism programs for sustainable travel.;DevOps Engineer;tidak
Informatics;Migrated legacy monoliths to microservices architecture. Proficient in Docker and containerization.;Full-Stack Developer;ya
Informatics;Designed IAM policies for AWS and Azure environments. Skilled in identity and access management.;Cybersecurity Specialist;ya
Informatics;Integrated payment gateways (Stripe, PayPal) into web apps. Skilled in third-party API integrations.;Software Engineer;ya
Informatics;Used Ansible for configuration management. Skilled in automation and orchestration.;DevOps Engineer;ya
Informatics;Mentored junior designers in Figma and design systems. Strong leadership and mentoring skills.;UI/UX Designer;ya
Informatics;Skilled in dance choreography and performance art.;Cloud Solutions Architect;tidak
Informatics;Skilled in drone flying and aerial photography.;Big Data Engineer;tidak
Informatics;Collaborated with UX designers to implement responsive web interfaces. Proficient in HTML5 and CSS3.;Software Engineer;ya
Informatics;Mentored interns in React best practices. Strong teaching and documentation skills.;Full-Stack Developer;ya
Informatics;Created responsive web layouts using Bootstrap and Material UI. Proficient in CSS frameworks.;UI/UX Designer;ya
Informatics;Conducted penetration testing with Metasploit and Burp Suite. Certified CEH (Certified Ethical Hacker).;Cybersecurity Specialist;ya
Informatics;Designed scalable cloud architectures on AWS and Azure. Certified Solutions Architect – Associate (AWS).;Cloud Solutions Architect;ya
Informatics;Led marathon training groups for charity fundraising.;Full-Stack Developer;tidak
Informatics;Integrated third-party APIs (Stripe, Twilio) into backend services. Skilled in REST and GraphQL.;Full-Stack Developer;ya
Informatics;Designed scalable cloud architectures on AWS and Azure. Certified Solutions Architect – Associate (AWS).;Cloud Solutions Architect;ya
Informatics;Interest in travel logistics and cultural exchange programs.;Cybersecurity Specialist;tidak
Informatics;Mentored interns in React best practices. Strong teaching and documentation skills.;Full-Stack Developer;ya
Informatics;Collaborated with UX designers to implement responsive web interfaces. Proficient in HTML5 and CSS3.;Software Engineer;ya
Informatics;Built recommendation systems using collaborative filtering and matrix factorization. Skilled in Spark MLlib.;AI/Machine Learning Engineer;ya
Informatics;Certified in hotel management and guest experience optimization.;DevOps Engineer;tidak
Informatics;Trained in Cloudera Certified Data Engineer. Skilled in Hive and Impala.;Big Data Engineer;ya
Informatics;Interest in archaeology and historical preservation.;AI/Machine Learning Engineer;tidak
Informatics;Designed mobile-first interfaces for iOS and Android. Skilled in adaptive design principles.;UI/UX Designer;ya
Informatics;Trained deep learning models with TensorFlow and Keras. Proficient in GPU acceleration (CUDA).;AI/Machine Learning Engineer;ya
Informatics;Interest in fashion design and creative management.;UI/UX Designer;tidak
Informatics;Interest in astronomy and amateur astrophotography.;Cybersecurity Specialist;tidak
Informatics;Led school workshops on creative writing and literature.;Data Scientist;tidak
Informatics;Led MLOps initiatives for model deployment and monitoring. Strong CI/CD pipeline experience.;Data Scientist;ya
Informatics;Used Adobe XD for prototyping and interaction design. Skilled in motion design (After Effects).;UI/UX Designer;ya
Informatics;Experienced in culinary arts and food service management.;Data Scientist;tidak
Informatics;Applied hyperparameter tuning (Grid Search, Bayesian) to improve model accuracy. Skilled in Scikit-learn and XGBoost.;Data Scientist;ya
Informatics;Used Jest and Cypress for unit and end-to-end testing. Proficient in TDD (Test-Driven Development).;Software Engineer;ya
Informatics;Led school workshops on creative writing and literature.;Software Engineer;tidak
Informatics;Skilled in game theory and competitive gaming strategies.;Data Scientist;tidak
Informatics;Led volunteer teams for environmental clean-up campaigns.;UI/UX Designer;tidak
Informatics;Implemented serverless architectures with AWS Lambda and Azure Functions. Skilled in event-driven design.;Cloud Solutions Architect;ya
Informatics;Led pet grooming and animal care workshops.;Cybersecurity Specialist;tidak
Informatics;Led podcast production and audio storytelling projects.;Blockchain Developer;tidak
Informatics;Certified in hotel management and guest experience optimization.;Software Engineer;tidak
Informatics;Experienced in academic writing and biology lab research.;Cloud Solutions Architect;tidak
Informatics;Skilled in voice acting and audiobook narration.;Big Data Engineer;tidak
Informatics;Volunteered in library management and literacy programs.;Cybersecurity Specialist;tidak
Informatics;Led school workshops on creative writing and literature.;Cybersecurity Specialist;tidak
Informatics;Led school workshops on creative writing and literature.;Full-Stack Developer;tidak
Informatics;Volunteered in beach cleanup and marine conservation.;Cloud Solutions Architect;tidak
Informatics;Interest in archaeology and historical preservation.;AI/Machine Learning Engineer;tidak
Informatics;Volunteered in agricultural farming and sustainable practices.;Software Engineer;tidak
Informatics;Led community art workshops for local schools.;Full-Stack Developer;tidak
Informatics;Passionate about travel logistics and hospitality management.;Cybersecurity Specialist;tidak
Informatics;Built predictive models using Python and TensorFlow for customer churn analysis. Proficient in Tableau for data visualization.;Data Scientist;ya
Informatics;Managed containerized applications with Docker and Kubernetes. Proficient in Helm charts.;DevOps Engineer;ya
Informatics;Trained in Google Cloud Professional Cloud Developer. Skilled in cloud-native development.;Full-Stack Developer;ya
Informatics;Automated data quality checks with Great Expectations. Skilled in data governance.;Big Data Engineer;ya
Informatics;Led volunteer teams for environmental clean-up campaigns.;Big Data Engineer;tidak
Informatics;Used OSSTMM and OWASP Top 10 for security assessments. Proficient in compliance frameworks.;Cybersecurity Specialist;ya
Informatics;Used dbt for transforming data in the warehouse. Proficient in ELT pipelines.;Big Data Engineer;ya
Informatics;Experience in event planning and coordination.;Full-Stack Developer;tidak
Informatics;Certified in green building standards like LEED.;Full-Stack Developer;tidak
Informatics;Automated data quality checks with Great Expectations. Skilled in data governance.;Big Data Engineer;ya
Informatics;Used Delta Lake for data lakehouse architecture. Proficient in ACID transactions.;Big Data Engineer;ya
Informatics;Used IPFS for decentralized storage. Proficient in Filecoin and Storj.;Blockchain Developer;ya
Informatics;Mentored interns in React best practices. Strong teaching and documentation skills.;Full-Stack Developer;ya
Informatics;Skilled in renewable energy advocacy and community education.;AI/Machine Learning Engineer;tidak
Informatics;Skilled in cross-cultural communication and language tutoring.;Big Data Engineer;tidak
Informatics;Certified in floral design and event decoration.;Cybersecurity Specialist;tidak
Informatics;Certified yoga instructor with focus on mental health advocacy.;Big Data Engineer;tidak
Informatics;Led volunteer teams for environmental clean-up campaigns.;UI/UX Designer;tidak
Informatics;Built predictive models using Python and TensorFlow for customer churn analysis. Proficient in Tableau for data visualization.;Data Scientist;ya
Informatics;Skilled in swimming and lifeguard training.;DevOps Engineer;tidak
Informatics;Certified in hotel management and guest experience optimization.;Blockchain Developer;tidak
Informatics;Built recommendation systems using collaborative filtering and matrix factorization. Skilled in Spark MLlib.;AI/Machine Learning Engineer;ya
Informatics;Implemented SOC 2 compliance frameworks. Proficient in SIEM tools (Splunk, QRadar).;Cybersecurity Specialist;ya
Informatics;Migrated legacy monoliths to microservices architecture. Proficient in Docker and containerization.;Full-Stack Developer;ya
Informatics;Led international tour groups for cultural immersion experiences.;Full-Stack Developer;tidak
Informatics;Optimized model inference speed with ONNX and TensorRT. Proficient in edge computing.;AI/Machine Learning Engineer;ya
Informatics;Interest in fashion design and creative management.;DevOps Engineer;tidak
Informatics;Skilled in waste management and recycling coordination.;Cloud Solutions Architect;tidak
Informatics;Used Nagios for system monitoring and alerting. Strong incident response skills.;DevOps Engineer;ya
Informatics;Collaborated with developers to enforce coding standards and CI/CD best practices.;DevOps Engineer;ya
Informatics;Skilled in waste management and recycling coordination.;Software Engineer;tidak
Informatics;Volunteered as a tour guide at historical heritage sites.;Cloud Solutions Architect;tidak
Informatics;Led MLOps initiatives for model deployment and monitoring. Strong CI/CD pipeline experience.;Data Scientist;ya
Informatics;Led book clubs and literary analysis discussions.;Cybersecurity Specialist;tidak
Informatics;Skilled in travel blogging and digital storytelling.;Full-Stack Developer;tidak
Informatics;Experienced in sports coaching and youth development.;Blockchain Developer;tidak
Informatics;Used Presto for interactive SQL queries on petabyte-scale datasets. Proficient in distributed SQL.;Big Data Engineer;ya
Informatics;Applied hyperparameter tuning (Grid Search, Bayesian) to improve model accuracy. Skilled in Scikit-learn and XGBoost.;Data Scientist;ya
Informatics;Interest in organic farming and permaculture design.;Cloud Solutions Architect;tidak
Informatics;Volunteered in agricultural farming and sustainable practices.;Full-Stack Developer;tidak
Informatics;Used SQL and NoSQL databases for querying structured and unstructured data. Proficient in data cleaning and preprocessing.;Data Scientist;ya
Informatics;Used OSSTMM and OWASP Top 10 for security assessments. Proficient in compliance frameworks.;Cybersecurity Specialist;ya
Informatics;Interest in cryptocurrency trading and blockchain hobbies.;DevOps Engineer;tidak
Informatics;Optimized Hadoop clusters for 10x performance gains. Skilled in HDFS and MapReduce.;Big Data Engineer;ya
Informatics;Volunteered as a tour guide at historical heritage sites.;Software Engineer;tidak
Informatics;Passionate about travel logistics and hospitality management.;Big Data Engineer;tidak
Informatics;Skilled in voice acting and audiobook narration.;UI/UX Designer;tidak
Informatics;Experience in event planning and coordination.;AI/Machine Learning Engineer;tidak
Informatics;Designed scalable cloud architectures on AWS and Azure. Certified Solutions Architect – Associate (AWS).;Cloud Solutions Architect;ya
Informatics;Interest in organic farming and permaculture design.;Blockchain Developer;tidak
Informatics;Experienced in academic writing and biology lab research.;Big Data Engineer;tidak
Informatics;Optimized conversion rates through iterative design improvements. Skilled in Figma Auto Layout.;UI/UX Designer;ya
Informatics;Migrated on-premises workloads to GCP with minimal downtime. Proficient in lift-and-shift strategies.;Cloud Solutions Architect;ya
Informatics;Built data pipelines with Apache Beam and Spark. Proficient in batch and streaming processing.;Big Data Engineer;ya
Informatics;Built full-stack applications with React, Node.js, and MongoDB. Proficient in MERN stack.;Full-Stack Developer;ya
Informatics;Used Jest and Cypress for unit and end-to-end testing. Proficient in TDD (Test-Driven Development).;Software Engineer;ya
Informatics;Led tree-planting initiatives for urban reforestation.;Big Data Engineer;tidak
Informatics;Interest in outdoor survival skills and wilderness exploration.;AI/Machine Learning Engineer;tidak
Informatics;Used PyTorch for computer vision tasks like object detection and image classification.;AI/Machine Learning Engineer;ya
Informatics;Mentored teams in MLOps practices. Strong collaboration and knowledge-sharing skills.;AI/Machine Learning Engineer;ya
Informatics;Skilled in waste management and recycling coordination.;AI/Machine Learning Engineer;tidak
Informatics;Skilled in travel blogging and digital storytelling.;UI/UX Designer;tidak
Informatics;Migrated legacy monoliths to microservices architecture. Proficient in Docker and containerization.;Full-Stack Developer;ya
Informatics;Led pet grooming and animal care workshops.;Data Scientist;tidak
Informatics;Used OSSTMM and OWASP Top 10 for security assessments. Proficient in compliance frameworks.;Cybersecurity Specialist;ya
Informatics;Automated data quality checks with Great Expectations. Skilled in data governance.;Big Data Engineer;ya
Informatics;Led book clubs and literary analysis discussions.;Software Engineer;tidak
Informatics;Certified in hotel management and guest experience optimization.;Blockchain Developer;tidak
Informatics;Certified in floral design and event decoration.;Full-Stack Developer;tidak
Informatics;Audited smart contracts for vulnerabilities. Proficient in Slither and MythX.;Blockchain Developer;ya
Informatics;Migrated legacy systems to microservices architecture. Skilled in Docker and Kubernetes.;Software Engineer;ya
Informatics;Mentored junior designers in Figma and design systems. Strong leadership and mentoring skills.;UI/UX Designer;ya
Informatics;Experience in event planning and coordination.;DevOps Engineer;tidak
Informatics;Certified in hotel management and guest experience optimization.;UI/UX Designer;tidak
Informatics;Trained in CompTIA Security+ and CISSP. Skilled in risk assessment and threat modeling.;Cybersecurity Specialist;ya
Informatics;Volunteered as a tutor for underprivileged students.;Software Engineer;tidak
Informatics;Skilled in chess strategy and competitive gaming.;AI/Machine Learning Engineer;tidak
Informatics;Trained in Certified Blockchain Developer (CBD). Skilled in cryptography and consensus algorithms.;Blockchain Developer;ya
Informatics;Conducted penetration testing with Metasploit and Burp Suite. Certified CEH (Certified Ethical Hacker).;Cybersecurity Specialist;ya
Informatics;Skilled in public speaking and debate competitions.;Data Scientist;tidak
Informatics;Built data pipelines with Apache Beam and Spark. Proficient in batch and streaming processing.;Big Data Engineer;ya
Informatics;Used Redis for caching and session management. Skilled in database optimization.;Full-Stack Developer;ya
Informatics;Passionate about travel logistics and hospitality management.;DevOps Engineer;tidak
Informatics;Volunteered as a tour guide at historical heritage sites.;Cloud Solutions Architect;tidak
Informatics;Skilled in public speaking and debate competitions.;Cloud Solutions Architect;tidak
Informatics;Interest in automotive repair and mechanical engineering hobbies.;AI/Machine Learning Engineer;tidak
Informatics;Implemented SOC 2 compliance frameworks. Proficient in SIEM tools (Splunk, QRadar).;Cybersecurity Specialist;ya
Informatics;Skilled in carbon footprint reduction strategies.;Cloud Solutions Architect;tidak
Informatics;Led eco-tourism programs for sustainable travel.;DevOps Engineer;tidak
Informatics;Used Presto for interactive SQL queries on petabyte-scale datasets. Proficient in distributed SQL.;Big Data Engineer;ya
Informatics;Volunteered in beach cleanup and marine conservation.;DevOps Engineer;tidak
Informatics;Used Adobe XD for prototyping and interaction design. Skilled in motion design (After Effects).;UI/UX Designer;ya
Informatics;Migrated legacy monoliths to microservices architecture. Proficient in Docker and containerization.;Full-Stack Developer;ya
Informatics;Led team-building activities for remote employees.;AI/Machine Learning Engineer;tidak
Informatics;Conducted penetration testing with Metasploit and Burp Suite. Certified CEH (Certified Ethical Hacker).;Cybersecurity Specialist;ya
Informatics;Certified in hotel management and guest experience optimization.;Software Engineer;tidak
Informatics;Experienced in sports coaching and youth development.;Cloud Solutions Architect;tidak
Informatics;Used IPFS for decentralized storage. Proficient in Filecoin and Storj.;Blockchain Developer;ya
Informatics;Organized charity fundraising events for local NGOs.;UI/UX Designer;tidak
Informatics;Collaborated with UX designers to implement responsive web interfaces. Proficient in HTML5 and CSS3.;Software Engineer;ya
Informatics;Used Nagios for system monitoring and alerting. Strong incident response skills.;DevOps Engineer;ya
Informatics;Optimized model inference speed with ONNX and TensorRT. Proficient in edge computing.;AI/Machine Learning Engineer;ya
Informatics;Passionate about music production and sound engineering.;Cybersecurity Specialist;tidak
Informatics;Migrated on-premises workloads to GCP with minimal downtime. Proficient in lift-and-shift strategies.;Cloud Solutions Architect;ya
Informatics;Created responsive web layouts using Bootstrap and Material UI. Proficient in CSS frameworks.;UI/UX Designer;ya
Informatics;Interest in astronomy and amateur astrophotography.;Full-Stack Developer;tidak
